sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
3777,63,5,6,0,171.631668,12.691667,63
3778,79,5,10,3,125.088478,12.648241,79
3779,76,7,5,1,148.927048,15.270006,76
3780,73,7,7,0,149.984589,20.115816,73
3781,78,8,8,0,147.518478,12.691667,78
3782,60,4,5,0,197.956146,67.168320,60
3783,65,8,4,0,180.503830,17.681482,65
3784,55,1,3,0,229.826050,77.782143,55
3785,66,3,8,0,187.534668,31.318216,66
3786,70,10,7,1,145.445404,12.691667,70
3787,75,6,6,2,134.021973,25.902905,75
3788,85,4,8,2,148.562912,12.691667,85
3789,77,4,4,1,165.640228,29.469137,77
3790,78,6,9,1,164.078918,12.691667,78
3791,72,9,8,1,172.296585,35.630013,72
3792,76,6,3,0,176.472794,64.147217,76
3793,75,5,4,1,170.245071,12.691667,75
3794,88,8,8,2,180.473343,29.469137,88
3795,73,7,5,1,163.867676,20.115816,73
3796,78,7,3,1,153.773300,12.691667,78
3797,79,7,7,0,152.622681,25.902905,79
3798,75,6,6,2,151.868668,10.349608,75
3799,71,5,5,0,182.426178,27.889433,71
3800,79,4,5,1,174.566605,20.115816,79
3801,82,6,9,2,158.318405,12.691667,82
3802,64,4,5,0,206.219101,12.691667,64
3803,83,10,7,1,143.010742,12.691667,83
3804,67,5,4,0,164.529068,12.691667,67
3805,74,6,8,2,150.847214,12.691667,74
3806,82,8,6,0,173.228622,12.011325,82
3807,93,12,7,1,131.581070,7.980152,93
3808,84,3,8,1,152.714554,12.691667,84
3809,81,4,6,0,167.070404,50.463833,81
3810,88,7,6,2,147.649902,10.349608,88
3811,73,4,4,2,163.084244,22.403118,73
3812,92,3,8,0,144.002335,13.410544,92
3813,69,7,7,0,148.272583,12.011325,69
3814,75,6,4,1,163.855576,29.055025,75
3815,71,2,5,1,157.234070,12.691667,71
3816,77,5,9,1,168.403107,12.691667,77
3817,84,5,5,0,153.140167,20.115816,84
3818,64,5,5,1,153.628464,12.691667,64
3819,70,5,6,1,187.236649,12.691667,70
3820,66,4,8,1,195.782532,12.691667,66
3821,71,9,8,2,134.609818,12.691667,71
3822,68,4,6,1,173.427353,12.691667,68
3823,70,6,3,0,190.258850,44.447186,70
3824,79,7,4,1,157.917175,12.691667,79
3825,69,6,6,0,167.199173,41.281269,69
3826,70,4,5,0,170.917297,25.902905,70
